Genome_Id	Genome_Name	Genome_Length	Num_Of_Chunks	Num_Of_Mapped_Reads	Absolute_Abundance	Relative_Abundance
8	Bifidobacterium_longum	2256640	1129	47986	2.12644	0.00169583
39	Roseburia_hominis	3592125	1797	369215	10.2785	0.00819707
48	Faecalibacterium_prausnitzii	3214418	1608	1090648	33.9299	0.0270591
103	Bacteroides_uniformis	10276	6	58170	566.076	0.451446
180	Ruminococcus_bromii	2249085	1125	126640	5.63073	0.00449051
270	Eubacterium_eligens	2144190	1073	150211	7.00549	0.00558688
303	Haemophilus_parainfluenzae	2086875	1044	11698	0.560551	0.00044704
330	Parabacteroides_distasonis	4811379	2406	1569895	32.6288	0.0260215
358	Bacteroides_xylanisolvens	5976145	2989	5208680	87.1579	0.0695084
506	Roseburia_intestinalis	4143550	2072	284425	6.86428	0.00547427
644	Ruminococcus_sp._SR1SLASH5	3545606	1773	50265	1.41767	0.00113059
664	Akkermansia_muciniphila	2664102	1333	695813	26.1181	0.0208292
693	Bacteroides_vulgatus	5163189	2582	11758291	227.733	0.181617
825	Eubacterium_siraeum	2836123	1419	594518	20.9623	0.0167175
849	Coprococcus_catus	3522704	1762	24478	0.694864	0.000554154
873	Ruminococcus_torques	3341681	1671	162744	4.87012	0.00388392
895	Eubacterium_rectale	3344951	1673	3187762	95.3007	0.0760023
916	butyrate-producing_bacterium	3108859	1555	135199	4.34883	0.00346819
1017	Acidaminococcus_intestini	2487765	1244	30876	1.24111	0.000989789
1036	Bacteroides_thetaiotaomicron	6260361	3131	2984264	47.6692	0.0380162
1048	Bifidobacterium_adolescentis	2089645	1045	73426	3.5138	0.00280226
1080	Methanobrevibacter_smithii	1853160	927	32806	1.77027	0.00141179
1087	Bacteroides_fragilis	5205140	2603	351116	6.74556	0.00537959
1155	Alistipes_finegoldii	3734239	1868	740285	19.8243	0.0158098
1220	Alistipes_shahii	3763317	1882	787453	20.9244	0.0166872
1362	Escherichia_coli	3976195	1989	52119	1.31078	0.00104534
1368	Odoribacter_splanchnicus	4392288	2197	756106	17.2144	0.0137285
